Buurtnaam;AdamlinkNummer;patbly;pbly;grondbly;totaalbly;nrbodey;nrhgy;aantal personen;percentage totaal
A;134;88,267;129,533;58,333;276,133;1,133;0.07;15;1.5
B;136;81,077;136,385;45,423;262,885;1.5;0.15;26;2.6
C;141;58,848;112,909;74,606;246,363;1,212;0.18;33;3.3
D;131;95,933;165,467;133,867;395,267;1,333;0.4;15;1.5
E;130;114,611;118,111;56,167;288,889;1,278;0.61;18;1.8
F;121;37,538;120,077;56,615;214.23;1,769;0.23;13;1.3
G;120;70,276;115,103;64,241;249.62;1,207;0.45;29;2.9
H;129;51,625;111,667;47,542;210,834;0.875;0.29;24;2.4
J;133;74,313;84.5;63,125;221,938;0.625;0.31;16;1.6
K;135;53,034;76.69;50,621;180,345;1;0.1;29;2.9
L;119;49.65;112.7;36.75;199.1;0.75;0.4;20;2
M;132;42,667;73;58,167;173,834;0.5;0.33;6;0.6
N;139;56,385;72,692;68;197,077;1,077;0.31;13;1.3
O;140;78.6;114.4;81;274;1;0.2;5;0.5
P;142;62,182;59,455;51;172,637;0.909;0.64;11;1.1
Q;144;52,667;68,556;454,333;575,556;0.889;0.22;9;0.9
R;146;47,667;71,667;99;218,334;1;0;3;0.3
S;145;34;19;101,333;154,333;0;0.33;3;0.3
T;149;74.4;52.8;55.4;182.6;0.6;0;5;0.5
U;148;81,065;105,806;19,871;206,742;1,065;0.19;31;3.1
V;147;67,121;151,394;59,394;277,909;1,788;0.24;33;3.3
W;143;65,333;143,296;56,981;265.61;1,556;0.41;54;5.5
X;127;103,705;170,432;91,455;365,592;1.25;0.18;44;4.4
Y;137;99,323;275,194;111,452;485,969;2,032;0.32;31;3.1
Z;138;55.81;149,121;55,466;260,397;1,448;0.17;58;5.9
AA;128;76,792;95,792;76,333;248,917;1,167;0.08;24;2.4
BB;126;39,389;150,278;44,444;234,111;1.5;0.22;18;1.8
CC;125;68.04;121.6;48.92;238.56;1.12;0.12;25;2.5
DD;111;37.5;59;78.5;175;0.75;0;4;0.4
EE;110;30,875;42,625;80.25;153.75;0.375;0.5;8;0.8
FF;112;42,667;63;93,667;199,334;0.667;0;3;0.3
GG;113;30;74.8;108;212.8;0.6;0;5;0.5
HH;114;120.2;170.12;62.8;353.12;1.12;0.32;25;2.5
JJ;122;71,607;137,179;61,321;270,107;1,393;0.21;28;2.8
KK;115;63,048;150,714;47,262;261,024;1,548;0.31;42;4.2
LL;116;71,946;168,216;78,892;319,054;1,946;0.11;37;3.7
MM;109;37.6;65.8;80.2;183.6;1.3;0.4;10;1
NN;108;105.5;117.5;35;258;1.5;0;2;0.2
OO;107;50.5;41;38.5;130;1;0.5;2;0.2
PP;106;22,667;24.5;94.5;141,667;0;0.17;6;0.6
QQ;101;75.25;42;39.75;157;0.5;0.25;4;0.4
RR;117;105,447;161,263;59,053;325,763;1,474;0.13;38;3.8
SS;118;88,828;173,655;48,103;310,586;1,552;0.14;29;2.9
TT;105;66.8;69.15;45.8;181.75;0.6;0.4;20;2
UU;102;37;75,333;71,444;183,777;0.778;0.11;9;0.9
VV;104;191;65.5;17;273.5;1;1;2;0.2
WW;103;79,333;60;11,333;150,666;1;0;3;0.3
XX;123;90,156;165,781;53,719;309,656;1,781;0.06;32;3.2
YY;124;63,217;117,817;43.45;224,484;1,417;0.2;60;6.1
ZZ;150;65.3;77.3;22.2;164.8;1.1;0.2;10;1
